"","inPathway","outPathway"
"Mefanamic Acid Pathway",93,392995
"Multiple carboxylase deficiency, neonatal or early onset form",10,393078
"Fructose-1,6-diphosphatase deficiency",56,393032
"Bendroflumethiazide Pathway",42,393046
"Monoamine oxidase-a deficiency (MAO-A)",86,393002
"Cholesteryl ester storage disease",67,393021
"Oxaprozin Pathway",93,392995
"Citalopram Metabolism Pathway",20,393068
"Prednisone Metabolism Pathway",5,393083
"Isobutyryl-coa dehydrogenase deficiency",89,392999
"Steroidogenesis",54,393034
"Fosphenytoin (Antiarrhythmic) Pathway",70,393018
"Azathioprine Pathway",130,392958
"Cimetidine Pathway",23,393065
"Troleandomycin Action Pathway",20,393068
"DNA Replication Fork",5,393083
"Glycerol Phosphate Shuttle",14,393074
"Saccharopinuria/Hyperlysinemia II",40,393048
"11-beta-hydroxylase deficiency (CYP11B1)",54,393034
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",72,393016
"Heroin Pathway",43,393045
"The oncogenic action of 2-hydroxyglutarate",63,393025
"Alteplase Pathway",18,393070
"Pyruvate Metabolism",123,392965
"Gliclazide Pathway",11,393077
"Tamoxifen Pathway",30,393058
"Sorafenib Metabolism Pathway",16,393072
"Hypoacetylaspartia",48,393040
"Intracellular Signalling Through Adenosine Receptor A2b and Adenosine",44,393044
"Arbekacin Action Pathway",20,393068
"Valdecoxib Pathway",93,392995
"Succinyl CoA: 3-ketoacid CoA transferase deficiency",18,393070
"Fatty acid Metabolism",499,392589
"Krabbe disease",62,393026
"Panitumumab Pathway",1,393087
"Etoposide Metabolism Pathway",25,393063
"Dihydropyrimidinase Deficiency",82,393006
"Capecitabine Pathway",12,393076
"Emtricitabine Action Pathway",4,393084
"Citric Acid Cycle",52,393036
"Dimethylglycine Dehydrogenase Deficiency",81,393007
"Betaine Metabolism",29,393059
"Glycolysis",123,392965
"Ethanol Degradation",26,393062
"Hyperornithinemia with gyrate atrophy (HOGA)",73,393015
"Lymecycline Pathway",20,393068
"Beta-Ketothiolase Deficiency",89,392999
"Phenprocoumon Pathway",19,393069
"Lactose Intolerance",20,393068
"Enalapril Pathway",11,393077
"Nevirapine Metabolism Pathway",25,393063
"Imipramine Pathway",52,393036
"Cetuximab Pathway",1,393087
"Fluoxetine Metabolism Pathway",14,393074
"Carnosinuria, carnosinemia",43,393045
"Transaldolase deficiency",44,393044
"Captopril Pathway",11,393077
"Glutamate Metabolism",72,393016
"Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone",15,393073
"3-Methylglutaconic Aciduria Type IV",89,392999
"Carbamoyl Phosphate Synthetase Deficiency",41,393047
"Pyruvate kinase deficiency",68,393020
"Arbutamine Action Pathway",68,393020
"Triosephosphate isomerase",56,393032
"Tenecteplase Pathway",18,393070
"Adrenoleukodystrophy, X-linked",19,393069
"Fluorouracil Pathway",2,393086
"Etoricoxib Action Pathway",93,392995
"Sulfite oxidase deficiency",29,393059
"Fumarase deficiency",52,393036
"Nicotine Metabolism Pathway",35,393053
"Betaxolol Pathway",68,393020
"Pindolol Pathway",68,393020
"Phytanic Acid Peroxisomal Oxidation",30,393058
"Ketone Body Metabolism",31,393057
"Neomycin Pathway",20,393068
"Mitochondrial complex II deficiency",52,393036
"Galactose Metabolism",95,392993
"3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency",89,392999
"Trichlormethiazide Pathway",42,393046
"Atenolol Pathway",68,393020
"Ifosfamide Metabolism Pathway",28,393060
"Plasmalogen Synthesis",31,393057
"Oxytetracycline Pathway",20,393068
"Methyclothiazide Pathway",42,393046
"Kanamycin Pathway",20,393068
"Pantoprazole Metabolism Pathway",4,393084
"Felbamate Metabolism Pathway",15,393073
"Nisoldipine Pathway",68,393020
"Minocycline Pathway",20,393068
"Aromatase deficiency",43,393045
"Temocapril Metabolism Pathway",1,393087
"Sialuria or French Type Sialuria",49,393039
"Risedronate Pathway",68,393020
"Lysinuric protein intolerance (LPI)",41,393047
"Methionine Adenosyltransferase Deficiency",62,393026
"Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)",56,393032
"Sepiapterin reductase deficiency",29,393059
"Sphingolipid Metabolism",198,392890
"Joubert syndrome",33,393055
"Hyperprolinemia Type I",73,393015
"Prolidase Deficiency (PD)",73,393015
"Carteolol Action Pathway",68,393020
"Rabeprazole Metabolism Pathway",4,393084
"The oncogenic action of Succinate",67,393021
"Abacavir Action Pathway",4,393084
"Nizatidine Pathway",23,393065
"Bivalirudin Pathway",18,393070
"Tiaprofenic Acid Action Pathway",93,392995
"Vinorelbine Pathway",14,393074
"Methadone Pathway",49,393039
"Heparin Pathway",20,393068
"Fc Epsilon Receptor I Signaling in Mast Cells",45,393043
"Propranolol Pathway",68,393020
"Globoid Cell Leukodystrophy",62,393026
"Tyrosinemia, transient, of the newborn",86,393002
"Hyperinsulinism-Hyperammonemia Syndrome",72,393016
"Esomeprazole Pathway",22,393066
"Cimetidine Metabolism Pathway",2,393086
"Galactosemia III",28,393060
"Hyperlysinemia I, Familial",40,393048
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",35,393053
"27-Hydroxylase Deficiency",80,393008
"Prolinemia Type II",73,393015
"Nabumetone Pathway",93,392995
"Gastric Acid Production",35,393053
"Valproic Acid Metabolism Pathway",37,393051
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",44,393044
"Glycine N-methyltransferase Deficiency",62,393026
"Zalcitabine Action Pathway",4,393084
"Purine Nucleoside Phosphorylase Deficiency",109,392979
"Desipramine Metabolism Pathway",11,393077
"Codeine Metabolism Pathway",16,393072
"Ethacrynic Acid pathway",42,393046
"Etodolac Pathway",93,392995
"Hawkinsinuria",86,393002
"Thiamine Metabolism",52,393036
"Doxycycline Pathway",20,393068
"Clindamycin Pathway",20,393068
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",73,393015
"Cocaine Pathway",38,393050
"Tetracycline Pathway",20,393068
"Benzocaine Pathway",38,393050
"Glycogenosis, Type III. Cori disease, Debrancher glycogenosis",44,393044
"Sucrase-isomaltase deficiency",44,393044
"L-arginine:glycine amidinotransferase deficiency",73,393015
"Inositol Metabolism",50,393038
"3-Methylthiofentanyl Action Pathway",37,393051
"Glutathione Synthetase Deficiency",29,393059
"Antrafenine Action Pathway",93,392995
"Disulfiram Pathway",104,392984
"Ketoprofen Pathway",93,392995
"Anistreplase Pathway",18,393070
"Inositol Phosphate Metabolism",160,392928
"Bupranolol Action Pathway",68,393020
"Fluvastatin Pathway",69,393019
"Gefitinib Pathway",2,393086
"Warfarin Pathway",20,393068
"Trehalose Degradation",23,393065
"Torsemide Pathway",42,393046
"Methylmalonic Aciduria Due to Cobalamin-Related Disorders",52,393036
"Pantoprazole Pathway",24,393064
"Nicotinate and Nicotinamide Metabolism",107,392981
"Beta Oxidation of Very Long Chain Fatty Acids",22,393066
"Mercaptopurine Pathway",128,392960
"The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ",66,393022
"Hydromorphone Pathway",38,393050
"Adenylosuccinate Lyase Deficiency",109,392979
"Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin",15,393073
"Polythiazide Pathway",42,393046
"Delavirdine Action Pathway",4,393084
"Pyruvaldehyde Degradation",14,393074
"Hydrochlorothiazide Pathway",42,393046
"Propoxyphene Action Pathway",38,393050
"Excitatory Neural Signalling Through 5-HTR 4 and Serotonin",16,393072
"Gemcitabine Metabolism Pathway",23,393065
"Dimethylglycine Dehydrogenase Deficiency1",81,393007
"Suprofen Pathway",93,392995
"Hyper-IgD syndrome",67,393021
"Clomipramine Metabolism Pathway",17,393071
"Dipyridamole (Antiplatelet) Pathway",3,393085
"Fructose and Mannose Degradation",50,393038
"Salsalate Action Pathway",93,392995
"Transcription/Translation",28,393060
"Coagulation ",18,393070
"Biotinidase Deficiency",10,393078
"Congenital disorder of glycosylation CDG-IId",29,393059
"Mitochondrial DNA depletion syndrome",109,392979
"Tyrosine Metabolism",156,392932
"Levomethadyl Acetate Metabolism Pathway",8,393080
"Warburg Effect",102,392986
"Fanconi-bickel syndrome",40,393048
"Gamma-glutamyl-transpeptidase deficiency",29,393059
"Fentanyl Pathway",38,393050
"Methylmalonate Semialdehyde Dehydrogenase Deficiency",89,392999
"Dopamine beta-hydroxylase deficiency",86,393002
"Glucose-Alanine Cycle",20,393068
"Nepafenac Action Pathway",93,392995
"Perindopril Pathway",12,393076
"Pancreas Function",9,393079
"Quinapril Metabolism Pathway",5,393083
"Succinic semialdehyde dehydrogenase deficiency",72,393016
"Vitamin A Deficiency",61,393027
"Primary Hyperoxaluria Type I",22,393066
"MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)",82,393006
"Nalbuphine Action Pathway",39,393049
"Homocystinuria, cystathionine beta-synthase deficiency",10,393078
"Naltrexone Action Pathway",38,393050
"Mepivacaine Pathway",38,393050
"Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1)",56,393032
"Paclitaxel Pathway",13,393075
"Efavirenz Action Pathway",4,393084
"Rolitetracycline Action Pathway",20,393068
"Amiloride Pathway",42,393046
"S-Adenosylhomocysteine (SAH) Hydrolase Deficiency",62,393026
"Glycogenosis, Type IB",56,393032
"Roxatidine acetate Action Pathway",23,393065
"Pentose Phosphate Pathway",92,392996
"Dimethylthiambutene Action Pathway",37,393051
"Fructose intolerance, hereditary",50,393038
"Degradation of Superoxides",16,393072
"Azathioprine Metabolism Pathway",3,393085
"Tryptophan Metabolism",241,392847
"Doxepin Metabolism Pathway",18,393070
"Mycophenolic Acid Metabolism Pathway",33,393055
"Riboflavin Metabolism",43,393045
"Phospholipid Biosynthesis",59,393029
"Folate malabsorption, hereditary",41,393047
"Ramipril Metabolism Pathway",4,393084
"Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency",54,393034
"Atorvastatin Pathway",68,393020
"Canavan Disease",48,393040
"Diltiazem Pathway",68,393020
"Thioguanine Metabolism Pathway",5,393083
"Escitalopram Pathway",38,393050
"Verapamil Pathway",69,393019
"Hypermethioninemia",62,393026
"Corticotropin Activation of Cortisol Production",12,393076
"Chlorothiazide Pathway",42,393046
"Glycogen synthetase deficiency",44,393044
"Dicoumarol Action Pathway",19,393069
"Ubiquinone Biosynthesis",24,393064
"Glutaminolysis and Cancer",74,393014
"Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency",29,393059
"Triamterene Pathway",42,393046
"Nadolol Pathway",68,393020
"Nicotine Pathway",70,393018
"Proparacaine Pathway",38,393050
"Dopa-responsive dystonia",29,393059
"Sialuria or French Type Sialuria1",49,393039
"2-aminoadipic 2-oxoadipic aciduria",40,393048
"Demeclocycline Pathway",20,393068
"Trisalicylate-choline Action Pathway",93,392995
"Gluconeogenesis",86,393002
"Biotin Metabolism",35,393053
"Isovaleric acidemia",89,392999
"Familial Hypercholanemia (FHCA)",80,393008
"Iminoglycinuria",41,393047
"Acetylsalicylic Acid Pathway",93,392995
"Dihydromorphine Action Pathway",38,393050
"Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)",67,393021
"Bisoprolol Pathway",68,393020
"Fosphenytoin (Antiarrhythmic) Metabolism Pathway",6,393082
"Porphyrin Metabolism",54,393034
"Omeprazole Metabolism Pathway",4,393084
"Zellweger Syndrome",80,393008
"Nimodipine Pathway",68,393020
"Procaine Pathway",38,393050
"Carprofen Action Pathway",93,392995
"Nucleotide Excision Repair",125,392963
"Pterine Biosynthesis",39,393049
"Carfentanil Pathway",37,393051
"Galactosemia II (GALK)",28,393060
"Bopindolol Action Pathway",68,393020
"Tigecycline Action Pathway",20,393068
"Sulindac Pathway",93,392995
"Xanthinuria type I",109,392979
"Isoprenaline Action Pathway",68,393020
"Oxymorphone Pathway",38,393050
"Glycine and Serine Metabolism",85,393003
"Malonic Aciduria",52,393036
"Oxycodone Pathway",38,393050
"Ribose-5-phosphate isomerase deficiency",44,393044
"Hereditary Coproporphyria (HCP)",54,393034
"Codeine Pathway",51,393037
"Rosuvastatin Pathway",68,393020
"Argininosuccinic Aciduria",41,393047
"Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency",54,393034
"Valine, Leucine and Isoleucine Degradation",121,392967
"Carnitine palmitoyl transferase deficiency (I)",56,393032
