CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,,HMDB,PUBCHEM,CHEMSPIDER,KEGG,CAS,PRIMARY_ID
35,400,42370,166164,Amino Acid,Glutamate Metabolism,62,NAMED,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,,HMDB0001301,pubchem:11966181,chemspider:10140206,kegg:C04322,CAS:2906-39-0,HMDB0001301
50,400,485,155305,Amino Acid,Polyamine Metabolism,545,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,,HMDB0001257,pubchem:1102,chemspider:1071,kegg:C00315,CAS:124-20-9,HMDB0001257
55,400,27665,155829,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4317,NAMED,LDHMAVIPBRSVRG-UHFFFAOYSA-N,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1-methylnicotinamide,,HMDB0000699,pubchem:457,chemspider:8305504,kegg:C02918,CAS:1005-24-9,HMDB0000699
62,209,38395,143675,Lipid,"Fatty Acid, Dihydroxy",2031,NAMED,CQSLTKIXAJTQGA-FLIBITNWSA-N,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME","12,13-DiHOME",,HMDB0004705,pubchem:10236635,chemspider:8412123,kegg:C14829,CAS:263399-35-5,HMDB0004705
92,305,38347,147843,Amino Acid,Lysine Metabolism,125,NAMED,FGSBNBBHOZHUBO-UHFFFAOYSA-N,OC(C(CCCC(O)=O)=O)=O,2-oxoadipate,2-oxoadipate,,HMDB0000225,pubchem:71,chemspider:70,kegg:C00322,CAS:3184-35-8,HMDB0000225
93,305,528,146398,Energy,TCA Cycle,1446,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,,HMDB0000208,pubchem:51,chemspider:50,kegg:C00026,"CAS:328-50-7,22202-68-2,305-72-6",HMDB0000208
98,209,1417,124553,Amino Acid,Tryptophan Metabolism,272,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,,HMDB0000715,pubchem:3845,chemspider:3712,kegg:C01717,CAS:492-27-3,HMDB0000715
111,305,1549,147711,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428,NAMED,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(C(O)=O)CO,3-hydroxyisobutyrate,3-hydroxyisobutyrate,,"HMDB0000023,HMDB0000336",pubchem:11966314,chemspider:10140307,"kegg:C01188,C06001",CAS:2068-83-9,HMDB0000023
112,305,531,146400,Lipid,Mevalonate Metabolism,3176,NAMED,NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,,HMDB0000355,"pubchem:1662,5459993",chemspider:4573695,kegg:C03761,CAS:503-49-1,HMDB0000355
117,209,1101,124537,Amino Acid,Tyrosine Metabolism,210,NAMED,QRMZSPFSDQBLIX-UHFFFAOYSA-N,COC1=CC(CC(O)=O)=CC=C1O,homovanillate (HVA),homovanillate (HVA),,HMDB0000118,pubchem:1738,chemspider:5323114,kegg:C05582,CAS:306-08-1,HMDB0000118
132,400,1414,155361,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,NAMED,OSJPPGNTCRNQQC-UHFFFAOYSA-N,OC(C(O)=O)COP(O)(O)=O,3-phosphoglycerate,3-phosphoglycerate,,HMDB0000807,pubchem:724,chemspider:10669764,kegg:C00597,CAS:80731-10-8,HMDB0000807
136,209,22842,124689,Lipid,Primary Bile Acid Metabolism,3454,NAMED,BHQCQFFYRZLCQQ-OLRQUHAPSA-N,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,cholate,cholate,,HMDB0000619,pubchem:221493,,kegg:C00695,CAS:81-25-4,HMDB0000619
143,209,38309,143797,Lipid,"Fatty Acid, Oxidized",2054,NAMED,JVJFIQYAHPMBBX-FNORWQNLSA-N,CCCCCC(/C=C/C=O)O,4-hydroxynonenal,4-hydroxynonenal,,HMDB0004362,pubchem:5283344,chemspider:1630,kegg:C21642,"CAS:128946-65-6,75899-68-2",HMDB0004362
144,209,541,123169,Amino Acid,Phenylalanine Metabolism,159,NAMED,XQXPVVBIMDBYFF-UHFFFAOYSA-N,OC(CC1=CC=C(C=C1)O)=O,4-hydroxyphenylacetate,4-hydroxyphenylacetate,,HMDB0000020,pubchem:127,chemspider:3881560,kegg:C00642,CAS:156-38-7,HMDB0000020
158,209,1418,123205,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4281,NAMED,NBAKTGXDIBVZOO-UHFFFAOYSA-N,O=C(NCC1C)NC1=O,"5,6-dihydrothymine","5,6-dihydrothymine",,HMDB0000079,pubchem:93556,chemspider:84456,kegg:C00906,CAS:696-04-8,HMDB0000079
171,209,3127,124615,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4121,NAMED,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=C1C(N=CN2)=C2N=CN1,hypoxanthine,hypoxanthine,,HMDB0000157,"pubchem:790,135398638",chemspider:768,kegg:C00262,CAS:68-94-0,HMDB0000157
