"","inPathway","outPathway"
"Vitamin K Metabolism",14,90480
"Etoposide Metabolism Pathway",14,90480
"Omeprazole Metabolism Pathway",2,90492
"Lysinuric Protein Intolerance",8,90486
"Krabbe disease",39,90455
"Fluorouracil Metabolism Pathway",1,90493
"Urokinase Pathway",4,90490
"Lidocaine (Antiarrhythmic) Pathway",27,90467
"Hyperinsulinism-Hyperammonemia Syndrome",49,90445
"Azathioprine Metabolism Pathway",3,90491
"Perindopril Pathway",8,90486
"Chlorthalidone Pathway",9,90485
"Netilmicin Pathway",20,90474
"Vinorelbine Pathway",6,90488
"2-aminoadipic 2-oxoadipic aciduria",27,90467
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",28,90466
"Heroin Pathway",13,90481
"Sorafenib Metabolism Pathway",9,90485
"Fondaparinux Pathway",5,90489
"Ornithine Aminotransferase Deficiency (OAT Deficiency)",53,90441
"3-Methylcrotonyl Coa Carboxylase Deficiency Type I",59,90435
"Imipramine Pathway",21,90473
"Aspartate Metabolism",35,90459
"Pentose Phosphate Pathway",87,90407
"The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria",38,90456
"Quinethazone Pathway",9,90485
"Sarcosinemia",55,90439
"Losartan Action Pathway",7,90487
"Inositol Metabolism",31,90463
"Prilocaine Pathway",11,90483
"Thyroid hormone synthesis",13,90481
"Intracellular Signalling Through Histamine H2 Receptor and Histamine",9,90485
"Glutaric Aciduria Type I",58,90436
"Corticosterone methyl oxidase II deficiency - CMO II",43,90451
"Oxprenolol Pathway",12,90482
"Glutaric Aciduria Type I1",58,90436
"Thioguanine Pathway",84,90410
"Tenecteplase Pathway",4,90490
"Dopa-responsive dystonia",21,90473
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,90467
"Labetalol Pathway",12,90482
"Adenosine Deaminase Deficiency",73,90421
"Glucose Transporter Defect (SGLT2)",8,90486
"Methyclothiazide Pathway",9,90485
"Galactose Metabolism",93,90401
"Pantoprazole Metabolism Pathway",2,90492
"Ethacrynic Acid pathway",9,90485
"Tobramycin Action Pathway",20,90474
"Carprofen Action Pathway",65,90429
"Prednisolone Pathway",1,90493
"Oxaprozin Pathway",65,90429
"Transcription/Translation",28,90466
"Butyrate Metabolism",19,90475
"Porphyria Variegata (PV)",39,90455
